Genome	Strain	Culture collection #	taxon_oid	Sequencing Technology	Assembly Method	Sequencing Depth (fold coverage)	CheckM Completeness (%)	Genome Size (bp)	Gene Count 	CDS Count   	Coding Base Count %   	GC   	COG Count   	KO Count	Pfam Count	TIGRfam Count	With Function Prediction %	Scaffold Count	HunTitle	BioProject	BioSample	Tax ID	GenBank FTP	GenBank Assembly	GenBank Accession	GenBank FTP	Genbank assembly file	RefSeq FTP	RefSeq Assembly	RefSeq accession	RefSeq FTP	RefSeq Assembly file
Ruaniaceae bacterium	KH17		2623620518	Illumina HiSeq	vpAllpaths v. r46652	691.569	98.75	2724385	2588	2532	90.84	0.65	1683	1343	2080	745	76.31	72	Ruaniaceae bacterium KH17 	PRJEB21848	SAMN06298212	1945888	[GCA_900199505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/505/GCA_900199505.1_IMG-taxon_2623620518_annotated_assembly)	[GCA_900199505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/505/GCA_900199505.1_IMG-taxon_2623620518_annotated_assembly/GCA_900199505.1_IMG-taxon_2623620518_annotated_assembly_genomic.fna.gz)	GCA_900199505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/505/GCA_900199505.1_IMG-taxon_2623620518_annotated_assembly	GCA_900199505.1_IMG-taxon_2623620518_annotated_assembly_genomic.fna.gz	[GCF_900199505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/505/GCF_900199505.1_IMG-taxon_2623620518_annotated_assembly)	[GCF_900199505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/505/GCF_900199505.1_IMG-taxon_2623620518_annotated_assembly/GCF_900199505.1_IMG-taxon_2623620518_annotated_assembly_genomic.fna.gz)	GCF_900199505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/505/GCF_900199505.1_IMG-taxon_2623620518_annotated_assembly	GCF_900199505.1_IMG-taxon_2623620518_annotated_assembly_genomic.fna.gz
Prevotellaceae bacterium	MN60		2623620474	Illumina HiSeq	vpAllpaths v. r46652	262.678	98.89	2737698	2338	2283	91.21	0.46	1278	1009	1795	721	71.98	24	Prevotellaceae bacterium MN60 	PRJEB21845	SAMN06298211	1945887	[GCA_900199555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/555/GCA_900199555.1_IMG-taxon_2623620474_annotated_assembly)	[GCA_900199555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/555/GCA_900199555.1_IMG-taxon_2623620474_annotated_assembly/GCA_900199555.1_IMG-taxon_2623620474_annotated_assembly_genomic.fna.gz)	GCA_900199555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/555/GCA_900199555.1_IMG-taxon_2623620474_annotated_assembly	GCA_900199555.1_IMG-taxon_2623620474_annotated_assembly_genomic.fna.gz	[GCF_900199555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/555/GCF_900199555.1_IMG-taxon_2623620474_annotated_assembly)	[GCF_900199555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/555/GCF_900199555.1_IMG-taxon_2623620474_annotated_assembly/GCF_900199555.1_IMG-taxon_2623620474_annotated_assembly_genomic.fna.gz)	GCF_900199555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/555/GCF_900199555.1_IMG-taxon_2623620474_annotated_assembly	GCF_900199555.1_IMG-taxon_2623620474_annotated_assembly_genomic.fna.gz
Streptococcus equinus	AR3		2654588192	Illumina HiSeq	vpAllpaths v. r46652	453.261	100	2021307	2063	2004	90.58	0.37	1457	1138	1707	782	78.48	16	Streptococcus equinus AR3 	PRJEB21850	SAMN05216470	1335	[GCA_900199575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/575/GCA_900199575.1_IMG-taxon_2654588192_annotated_assembly)	[GCA_900199575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/575/GCA_900199575.1_IMG-taxon_2654588192_annotated_assembly/GCA_900199575.1_IMG-taxon_2654588192_annotated_assembly_genomic.fna.gz)	GCA_900199575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/575/GCA_900199575.1_IMG-taxon_2654588192_annotated_assembly	GCA_900199575.1_IMG-taxon_2654588192_annotated_assembly_genomic.fna.gz	[GCF_900199575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/575/GCF_900199575.1_IMG-taxon_2654588192_annotated_assembly)	[GCF_900199575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/575/GCF_900199575.1_IMG-taxon_2654588192_annotated_assembly/GCF_900199575.1_IMG-taxon_2654588192_annotated_assembly_genomic.fna.gz)	GCF_900199575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/575/GCF_900199575.1_IMG-taxon_2654588192_annotated_assembly	GCF_900199575.1_IMG-taxon_2654588192_annotated_assembly_genomic.fna.gz
Lachnospiraceae bacterium	LC2019		2623620511	Illumina HiSeq	vpAllpaths v. r46652	437.237	98.32	3492025	2971	2872	91.7	0.39	1689	1170	2222	782	71.36	47	Lachnospiraceae bacterium LC2019 	PRJEB21847	SAMN06297422	1898203	[GCA_900199595.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/595/GCA_900199595.1_IMG-taxon_2623620511_annotated_assembly)	[GCA_900199595.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/595/GCA_900199595.1_IMG-taxon_2623620511_annotated_assembly/GCA_900199595.1_IMG-taxon_2623620511_annotated_assembly_genomic.fna.gz)	GCA_900199595.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/595/GCA_900199595.1_IMG-taxon_2623620511_annotated_assembly	GCA_900199595.1_IMG-taxon_2623620511_annotated_assembly_genomic.fna.gz	[GCF_900199595.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/595/GCF_900199595.1_IMG-taxon_2623620511_annotated_assembly)	[GCF_900199595.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/595/GCF_900199595.1_IMG-taxon_2623620511_annotated_assembly/GCF_900199595.1_IMG-taxon_2623620511_annotated_assembly_genomic.fna.gz)	GCF_900199595.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/595/GCF_900199595.1_IMG-taxon_2623620511_annotated_assembly	GCF_900199595.1_IMG-taxon_2623620511_annotated_assembly_genomic.fna.gz
Prevotellaceae bacterium	KH2P17		2623620487	Illumina HiSeq	vpAllpaths v. r46652	604.976	98.93	3303909	2691	2627	87.7	0.53	1452	1121	2089	815	72.91	40	Prevotellaceae bacterium KH2P17 	PRJEB21846	SAMN06298210	1945886	[GCA_900199655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/655/GCA_900199655.1_IMG-taxon_2623620487_annotated_assembly)	[GCA_900199655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/655/GCA_900199655.1_IMG-taxon_2623620487_annotated_assembly/GCA_900199655.1_IMG-taxon_2623620487_annotated_assembly_genomic.fna.gz)	GCA_900199655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/199/655/GCA_900199655.1_IMG-taxon_2623620487_annotated_assembly	GCA_900199655.1_IMG-taxon_2623620487_annotated_assembly_genomic.fna.gz	[GCF_900199655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/655/GCF_900199655.1_IMG-taxon_2623620487_annotated_assembly)	[GCF_900199655.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/655/GCF_900199655.1_IMG-taxon_2623620487_annotated_assembly/GCF_900199655.1_IMG-taxon_2623620487_annotated_assembly_genomic.fna.gz)	GCF_900199655.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/655/GCF_900199655.1_IMG-taxon_2623620487_annotated_assembly	GCF_900199655.1_IMG-taxon_2623620487_annotated_assembly_genomic.fna.gz
Ruminococcus gnavus	AGR2154		2545555826	PacBio	HGAP v2.0.0	273.632	99.42	3724077	3784	3689	90.7	0.43	2090	1645	2851	1053	73.2	5	Ruminococcus gnavus AGR2154 	PRJNA214525	SAMN02584990	1384063	[GCA_000526735.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/735/GCA_000526735.1_ASM52673v1)	[GCA_000526735.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/735/GCA_000526735.1_ASM52673v1/GCA_000526735.1_ASM52673v1_genomic.fna.gz)	GCA_000526735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/735/GCA_000526735.1_ASM52673v1	GCA_000526735.1_ASM52673v1_genomic.fna.gz	[GCF_000526735.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/735/GCF_000526735.1_ASM52673v1)	[GCF_000526735.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/735/GCF_000526735.1_ASM52673v1/GCF_000526735.1_ASM52673v1_genomic.fna.gz)	GCF_000526735.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/735/GCF_000526735.1_ASM52673v1	GCF_000526735.1_ASM52673v1_genomic.fna.gz
Lactobacillus brevis	AG48		2540341249	PacBio	HGAP v2.0.0	131.524	99.06	2595994	2716	2604	86.56	0.46	1777	1247	2069	781	73.53	9	Lactobacillus brevis AG48 	PRJNA214528	SAMN02584991	1384064	[GCA_000526755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/755/GCA_000526755.1_ASM52675v1)	[GCA_000526755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/755/GCA_000526755.1_ASM52675v1/GCA_000526755.1_ASM52675v1_genomic.fna.gz)	GCA_000526755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/755/GCA_000526755.1_ASM52675v1	GCA_000526755.1_ASM52675v1_genomic.fna.gz	[GCF_000526755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/755/GCF_000526755.1_ASM52675v1)	[GCF_000526755.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/755/GCF_000526755.1_ASM52675v1/GCF_000526755.1_ASM52675v1_genomic.fna.gz)	GCF_000526755.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/755/GCF_000526755.1_ASM52675v1	GCF_000526755.1_ASM52675v1_genomic.fna.gz
Ruminococcus albus	AD2013		2540341206	PacBio	HGAP v. 2.0	226.022	99.32	4234989	3800	3693	86.27	0.44	1847	1423	2596	935	66.13	6	Ruminococcus albus AD2013 	PRJNA214529	SAMN02584992	1384065	[GCA_000526775.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/775/GCA_000526775.1_ASM52677v1)	[GCA_000526775.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/775/GCA_000526775.1_ASM52677v1/GCA_000526775.1_ASM52677v1_genomic.fna.gz)	GCA_000526775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/775/GCA_000526775.1_ASM52677v1	GCA_000526775.1_ASM52677v1_genomic.fna.gz	[GCF_000526775.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/775/GCF_000526775.1_ASM52677v1)	[GCF_000526775.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/775/GCF_000526775.1_ASM52677v1/GCF_000526775.1_ASM52677v1_genomic.fna.gz)	GCF_000526775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/775/GCF_000526775.1_ASM52677v1	GCF_000526775.1_ASM52677v1_genomic.fna.gz
Ruminococcus flavefaciens	AE3010		2540341248	PacBio	HGAP v2.0.0	433.546	98.99	3705946	3212	3136	88.59	0.46	1761	1298	2331	881	69.55	3	Ruminococcus flavefaciens AE3010 	PRJNA214530	SAMN02584993	1384066	[GCA_000526795.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/795/GCA_000526795.1_ASM52679v1)	[GCA_000526795.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/795/GCA_000526795.1_ASM52679v1/GCA_000526795.1_ASM52679v1_genomic.fna.gz)	GCA_000526795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/795/GCA_000526795.1_ASM52679v1	GCA_000526795.1_ASM52679v1_genomic.fna.gz	[GCF_000526795.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/795/GCF_000526795.1_ASM52679v1)	[GCF_000526795.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/795/GCF_000526795.1_ASM52679v1/GCF_000526795.1_ASM52679v1_genomic.fna.gz)	GCF_000526795.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/795/GCF_000526795.1_ASM52679v1	GCF_000526795.1_ASM52679v1_genomic.fna.gz
Pediococcus acidilactici	AGR20		2540341205	PacBio	HGAP v2.0.0	349.991	99.38	1924318	1930	1845	87.42	0.42	1391	1105	1592	720	79.74	2	Pediococcus acidilactici AGR20 	PRJNA214531	SAMN02584994	1384067	[GCA_000526815.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/815/GCA_000526815.1_ASM52681v1)	[GCA_000526815.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/815/GCA_000526815.1_ASM52681v1/GCA_000526815.1_ASM52681v1_genomic.fna.gz)	GCA_000526815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/815/GCA_000526815.1_ASM52681v1	GCA_000526815.1_ASM52681v1_genomic.fna.gz	[GCF_000526815.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/815/GCF_000526815.1_ASM52681v1)	[GCF_000526815.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/815/GCF_000526815.1_ASM52681v1/GCF_000526815.1_ASM52681v1_genomic.fna.gz)	GCF_000526815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/815/GCF_000526815.1_ASM52681v1	GCF_000526815.1_ASM52681v1_genomic.fna.gz
Butyrivibrio sp.	FCS014		2545555868	PacBio	HGAP v2.0.0	368.544	99.21	4089922	3699	3592	90.72	0.46	2053	1662	2754	981	73.59	22	Butyrivibrio sp. FCS014 	PRJNA223149	SAMN02585011	1408304	[GCA_000526935.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/935/GCA_000526935.1_ASM52693v1)	[GCA_000526935.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/935/GCA_000526935.1_ASM52693v1/GCA_000526935.1_ASM52693v1_genomic.fna.gz)	GCA_000526935.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/935/GCA_000526935.1_ASM52693v1	GCA_000526935.1_ASM52693v1_genomic.fna.gz	[GCF_000526935.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/935/GCF_000526935.1_ASM52693v1)	[GCF_000526935.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/935/GCF_000526935.1_ASM52693v1/GCF_000526935.1_ASM52693v1_genomic.fna.gz)	GCF_000526935.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/935/GCF_000526935.1_ASM52693v1	GCF_000526935.1_ASM52693v1_genomic.fna.gz
Prevotella sp.	MA2016		2558860990	Illumina HiSeq	vpAllpaths v. r46652	727.048	99.63	3384011	2837	2770	93.75	0.48	1558	1188	2219	825	74.55	12	Prevotella sp. MA2016 	PRJNA223052	SAMN02769640	1408310	[GCA_000619825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/825/GCA_000619825.1_ASM61982v1)	[GCA_000619825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/825/GCA_000619825.1_ASM61982v1/GCA_000619825.1_ASM61982v1_genomic.fna.gz)	GCA_000619825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/825/GCA_000619825.1_ASM61982v1	GCA_000619825.1_ASM61982v1_genomic.fna.gz	[GCF_000619825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/825/GCF_000619825.1_ASM61982v1)	[GCF_000619825.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/825/GCF_000619825.1_ASM61982v1/GCF_000619825.1_ASM61982v1_genomic.fna.gz)	GCF_000619825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/825/GCF_000619825.1_ASM61982v1	GCF_000619825.1_ASM61982v1_genomic.fna.gz
Treponema sp.	C6A8		2558860124	Illumina HiSeq	vpAllpaths v. r46652	340.849	100	2869490	2550	2499	92.11	0.41	1511	1210	1938	769	73.25	23	Treponema sp. C6A8 	PRJNA223484	SAMN02952981	1410609	[GCA_000619925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/925/GCA_000619925.1_ASM61992v1)	[GCA_000619925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/925/GCA_000619925.1_ASM61992v1/GCA_000619925.1_ASM61992v1_genomic.fna.gz)	GCA_000619925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/925/GCA_000619925.1_ASM61992v1	GCA_000619925.1_ASM61992v1_genomic.fna.gz	[GCF_000619925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/925/GCF_000619925.1_ASM61992v1)	[GCF_000619925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/925/GCF_000619925.1_ASM61992v1/GCF_000619925.1_ASM61992v1_genomic.fna.gz)	GCF_000619925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/925/GCF_000619925.1_ASM61992v1	GCF_000619925.1_ASM61992v1_genomic.fna.gz
Clostridium lundense 	R1            	DSM 17049	2558860132	Illumina HiSeq	vpAllpaths v. r46652	274.968	100	4753597	4591	4493	86.89	0.29	2743	2051	3606	1294	74.8	52	Clostridium lundense  R1             DSM 17049	PRJNA223468	SAMN02952982	1410653	[GCA_000619945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/945/GCA_000619945.1_ASM61994v1)	[GCA_000619945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/945/GCA_000619945.1_ASM61994v1/GCA_000619945.1_ASM61994v1_genomic.fna.gz)	GCA_000619945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/945/GCA_000619945.1_ASM61994v1	GCA_000619945.1_ASM61994v1_genomic.fna.gz	[GCF_000619945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/945/GCF_000619945.1_ASM61994v1)	[GCF_000619945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/945/GCF_000619945.1_ASM61994v1/GCF_000619945.1_ASM61994v1_genomic.fna.gz)	GCF_000619945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/945/GCF_000619945.1_ASM61994v1	GCF_000619945.1_ASM61994v1_genomic.fna.gz
Propionibacteriaceae bacterium	P6A17		2558860125	Illumina HiSeq	vpAllpaths v. r46652	619.595	98.78	2731626	2636	2576	91.83	0.69	1651	1339	2070	809	75.08	48	Propionibacteriaceae bacterium P6A17 	PRJNA223447	SAMN02952983	1410634	[GCA_000619965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/965/GCA_000619965.1_ASM61996v1)	[GCA_000619965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/965/GCA_000619965.1_ASM61996v1/GCA_000619965.1_ASM61996v1_genomic.fna.gz)	GCA_000619965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/965/GCA_000619965.1_ASM61996v1	GCA_000619965.1_ASM61996v1_genomic.fna.gz	[GCF_000619965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/965/GCF_000619965.1_ASM61996v1)	[GCF_000619965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/965/GCF_000619965.1_ASM61996v1/GCF_000619965.1_ASM61996v1_genomic.fna.gz)	GCF_000619965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/965/GCF_000619965.1_ASM61996v1	GCF_000619965.1_ASM61996v1_genomic.fna.gz
Prevotella sp.	P6B4		2558860126	Illumina HiSeq	vpAllpaths v. r46652	706.005	99.63	3552503	3037	2974	93.41	0.47	1533	1185	2303	814	72.31	49	Prevotella sp. P6B4 	PRJNA223445	SAMN02952984	1410614	[GCA_000619985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/985/GCA_000619985.1_ASM61998v1)	[GCA_000619985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/985/GCA_000619985.1_ASM61998v1/GCA_000619985.1_ASM61998v1_genomic.fna.gz)	GCA_000619985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/619/985/GCA_000619985.1_ASM61998v1	GCA_000619985.1_ASM61998v1_genomic.fna.gz	[GCF_000619985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/985/GCF_000619985.1_ASM61998v1)	[GCF_000619985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/985/GCF_000619985.1_ASM61998v1/GCF_000619985.1_ASM61998v1_genomic.fna.gz)	GCF_000619985.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/619/985/GCF_000619985.1_ASM61998v1	GCF_000619985.1_ASM61998v1_genomic.fna.gz
Lactobacillus plantarum	AG30		2558860970	PacBio	HGAP v. 2.0.1	560.65	99.38	3442875	3399	3282	83.81	0.44	2161	1656	2668	986	75.82	48	Lactobacillus plantarum AG30 	PRJNA239498	SAMN02743874	1590	[GCA_000687495.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/495/GCA_000687495.1_ASM68749v1)	[GCA_000687495.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/495/GCA_000687495.1_ASM68749v1/GCA_000687495.1_ASM68749v1_genomic.fna.gz)	GCA_000687495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/495/GCA_000687495.1_ASM68749v1	GCA_000687495.1_ASM68749v1_genomic.fna.gz	[GCF_000687495.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/495/GCF_000687495.1_ASM68749v1)	[GCF_000687495.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/495/GCF_000687495.1_ASM68749v1/GCF_000687495.1_ASM68749v1_genomic.fna.gz)	GCF_000687495.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/495/GCF_000687495.1_ASM68749v1	GCF_000687495.1_ASM68749v1_genomic.fna.gz
Lachnobacterium bovis	AE2004		2558860969	PacBio	HGAP v. 1.1	440.235	99.52	2844447	2688	2558	84.8	0.31	1491	1290	1886	828	69.68	22	Lachnobacterium bovis AE2004 	PRJNA239496	SAMN02743877	140626	[GCA_000687515.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/515/GCA_000687515.1_ASM68751v1)	[GCA_000687515.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/515/GCA_000687515.1_ASM68751v1/GCA_000687515.1_ASM68751v1_genomic.fna.gz)	GCA_000687515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/515/GCA_000687515.1_ASM68751v1	GCA_000687515.1_ASM68751v1_genomic.fna.gz	[GCF_000687515.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/515/GCF_000687515.1_ASM68751v1)	[GCF_000687515.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/515/GCF_000687515.1_ASM68751v1/GCF_000687515.1_ASM68751v1_genomic.fna.gz)	GCF_000687515.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/515/GCF_000687515.1_ASM68751v1	GCF_000687515.1_ASM68751v1_genomic.fna.gz
Lachnoclostridium aerotolerans 	X8A62	DSM 5434	2558860131	Illumina HiSeq	vpAllpaths v. r46652	651.132	99.37	4732373	4369	4284	89.38	0.42	2954	2217	3676	1184	81.53	50	Lachnoclostridium aerotolerans  X8A62 DSM 5434	PRJNA223500	SAMN02743875	1410651	[GCA_000687555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/555/GCA_000687555.1_ASM68755v1)	[GCA_000687555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/555/GCA_000687555.1_ASM68755v1/GCA_000687555.1_ASM68755v1_genomic.fna.gz)	GCA_000687555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/687/555/GCA_000687555.1_ASM68755v1	GCA_000687555.1_ASM68755v1_genomic.fna.gz	[GCF_000687555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/555/GCF_000687555.1_ASM68755v1)	[GCF_000687555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/555/GCF_000687555.1_ASM68755v1/GCF_000687555.1_ASM68755v1_genomic.fna.gz)	GCF_000687555.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/555/GCF_000687555.1_ASM68755v1	GCF_000687555.1_ASM68755v1_genomic.fna.gz
Lachnospiraceae bacterium	MD2004		2558860988	Illumina HiSeq	vpAllpaths v. r46652	499.992	99.03	2532276	2366	2298	90.91	0.41	1525	1200	1878	795	76.16	10	Lachnospiraceae bacterium MD2004 	PRJNA223499	SAMN02744028	1410625	[GCA_000622105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/105/GCA_000622105.1_ASM62210v1)	[GCA_000622105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/105/GCA_000622105.1_ASM62210v1/GCA_000622105.1_ASM62210v1_genomic.fna.gz)	GCA_000622105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/105/GCA_000622105.1_ASM62210v1	GCA_000622105.1_ASM62210v1_genomic.fna.gz	[GCF_000622105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/105/GCF_000622105.1_ASM62210v1)	[GCF_000622105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/105/GCF_000622105.1_ASM62210v1/GCF_000622105.1_ASM62210v1_genomic.fna.gz)	GCF_000622105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/105/GCF_000622105.1_ASM62210v1	GCF_000622105.1_ASM62210v1_genomic.fna.gz
